road_id,cell_id,n_cells,cell_fraction_center,truth_density,mean_density,abs_error
720,16,16,0.96875,0.3610505437,0.3610505437,0
721,1,15,0.03333333333,0.1227415881,0.1227415881,0
721,2,15,0.1,0.1325569721,0.1325569721,0
721,3,15,0.1666666667,0.1433979676,0.1433979676,0
721,4,15,0.2333333333,0.1504799846,0.1504799846,0
721,5,15,0.3,0.151547575,0.151547575,0
721,6,15,0.3666666667,0.1471574394,0.1471574394,0
721,7,15,0.4333333333,0.1391446073,0.1391446073,0
721,8,15,0.5,0.1294869944,0.1294869944,0
721,9,15,0.5666666667,0.1198188987,0.1198188987,0
721,10,15,0.6333333333,0.111247389,0.111247389,0
721,11,15,0.7,0.1042806113,0.1042806113,0
721,12,15,0.7666666667,0.0988462144,0.0988462144,0
721,13,15,0.8333333333,0.09443023288,0.09443023288,0
721,14,15,0.9,0.09032621424,0.09032621424,0
721,15,15,0.9666666667,0.08591109895,0.08591109895,0
722,1,10,0.05,0.4186083348,0.4186083348,0
722,2,10,0.15,0.4169916473,0.4169916473,0
722,3,10,0.25,0.3996959512,0.3996959512,0
722,4,10,0.35,0.3803410289,0.3803410289,0
722,5,10,0.45,0.3627736407,0.3627736407,0
722,6,10,0.55,0.3476194425,0.3476194425,0
722,7,10,0.65,0.3345247526,0.3345247526,0
722,8,10,0.75,0.3227359059,0.3227359059,0
722,9,10,0.85,0.311464747,0.311464747,0
722,10,10,0.95,0.3001931292,0.3001931292,0
723,1,10,0.05,0.685199348,0.685199348,0
723,2,10,0.15,0.7314211026,0.7314211026,0
723,3,10,0.25,0.7190620788,0.7190620788,0
723,4,10,0.35,0.7045117373,0.7045117373,0
723,5,10,0.45,0.6875882301,0.6875882301,0
723,6,10,0.55,0.6684258896,0.6684258896,0
723,7,10,0.65,0.6472329936,0.6472329936,0
723,8,10,0.75,0.6239318096,0.6239318096,0
723,9,10,0.85,0.5975970516,0.5975970516,0
723,10,10,0.95,0.5652498132,0.5652498132,0
724,1,33,0.01515151515,0.05438044284,0.05438044284,0
724,2,33,0.04545454545,0.05977628032,0.05977628032,0
724,3,33,0.07575757576,0.06511604594,0.06511604594,0
724,4,33,0.1060606061,0.07863704103,0.07863704103,0
724,5,33,0.1363636364,0.09603727436,0.09603727436,0
724,6,33,0.1666666667,0.1114511816,0.1114511816,0
724,7,33,0.196969697,0.1215905927,0.1215905927,0
724,8,33,0.2272727273,0.1261638758,0.1261638758,0
724,9,33,0.2575757576,0.1263741889,0.1263741889,0
724,10,33,0.2878787879,0.1235531828,0.1235531828,0
724,11,33,0.3181818182,0.1186583876,0.1186583876,0
724,12,33,0.3484848485,0.1122968236,0.1122968236,0
724,13,33,0.3787878788,0.1048723841,0.1048723841,0
724,14,33,0.4090909091,0.09669581512,0.09669581512,0
724,15,33,0.4393939394,0.08804051644,0.08804051644,0
724,16,33,0.4696969697,0.07916521885,0.07916521885,0
724,17,33,0.5,0.07032164141,0.07032164141,0
724,18,33,0.5303030303,0.06175642277,0.06175642277,0
724,19,33,0.5606060606,0.05371097219,0.05371097219,0
724,20,33,0.5909090909,0.0464203055,0.0464203055,0
724,21,33,0.6212121212,0.04011094569,0.04011094569,0
724,22,33,0.6515151515,0.03499763044,0.03499763044,0
724,23,33,0.6818181818,0.03127846476,0.03127846476,0
724,24,33,0.7121212121,0.02912815487,0.02912815487,0
724,25,33,0.7424242424,0.02868904554,0.02868904554,0
724,26,33,0.7727272727,0.03005989771,0.03005989771,0
724,27,33,0.803030303,0.03328274138,0.03328274138,0
724,28,33,0.8333333333,0.03832876531,0.03832876531,0
724,29,33,0.8636363636,0.04508504444,0.04508504444,0
724,30,33,0.8939393939,0.05334481717,0.05334481717,0
724,31,33,0.9242424242,0.06280469147,0.06280469147,0
724,32,33,0.9545454545,0.0730721043,0.0730721043,0
724,33,33,0.9848484848,0.0836851197,0.0836851197,0
725,1,33,0.01515151515,0.278652917,0.278652917,0
725,2,33,0.04545454545,0.2845656771,0.2845656771,0
725,3,33,0.07575757576,0.3101852438,0.3101852438,0
725,4,33,0.1060606061,0.3294683652,0.3294683652,0
725,5,33,0.1363636364,0.3352085831,0.3352085831,0
725,6,33,0.1666666667,0.33301618,0.33301618,0
725,7,33,0.196969697,0.3274047852,0.3274047852,0
725,8,33,0.2272727273,0.3201736955,0.3201736955,0
725,9,33,0.2575757576,0.3119905006,0.3119905006,0
725,10,33,0.2878787879,0.3032059992,0.3032059992,0
725,11,33,0.3181818182,0.2940964173,0.2940964173,0
725,12,33,0.3484848485,0.2849201547,0.2849201547,0
725,13,33,0.3787878788,0.2759290349,0.2759290349,0
